PollingPlaceID,Latitude,Longitude
1796,-33.5245000,149.7200000
283,-33.2854901,149.0968798
284,-33.2848161,149.1078578
230,-33.3169716,149.0936057
286,-33.2798185,149.0946465
65686,-33.2583532,149.0726671
33863,-33.2879160,149.1018700
287,-33.2930910,149.0970536
288,-33.2809000,149.0860000
2215,-33.1386000,148.1730000
2216,-33.1354000,148.1900000
2218,-33.1274566,148.1688176
2217,-33.1303000,148.1800000
33952,-33.1357000,148.1730000
2221,-33.1478000,148.1730000
2222,-33.1351000,148.1700000
2219,-32.7311849,148.1935820
289,-33.3094000,149.6350000
290,-33.4912774,149.5491994
291,-33.3551735,149.9792727
294,-33.4283000,149.6480000
1803,-33.6922600,149.5628500
298,-33.0805000,149.6910000
299,-33.3997000,149.1510000
300,-33.3940137,149.0967575
14036,-33.8735000,151.2070000
2228,-32.9255000,147.7100000
1808,-33.8222481,149.3288065
2229,-32.6356000,147.5650000
306,-33.4848816,150.1348122
308,-33.4821000,150.1750000
309,-33.4196000,150.0710000
310,-33.1422000,149.6920000
2237,-33.6681375,147.8084084
2240,-32.7549609,148.6500868
261,-33.4478000,149.8170000
323,-33.0608000,151.5800000
324,-32.9357100,151.6313900
325,-33.0111000,151.5380000
326,-32.9324000,151.5940000
373,-33.0081000,151.5750000
327,-32.9983000,151.5770000
65535,-32.9635037,151.6958026
329,-33.0015119,151.6075882
579,-33.1136000,151.5160000
331,-32.9736935,151.6110609
38331,-32.9098080,151.6107900
333,-32.9465000,151.6580000
334,-32.9431952,151.6626115
335,-32.9377159,151.6830912
336,-32.9372000,151.6650000
337,-32.9526000,151.6660000
338,-33.0235400,151.6038200
65194,-32.9641550,151.6951251
339,-33.0416000,151.6100000
340,-33.0789224,151.4411654
33899,-33.0743974,151.4575124
30101,-33.0144200,151.5964300
341,-33.0845438,151.5020451
342,-32.9237760,151.6220720
351,-32.9260171,151.6057703
1869,-32.9149000,151.6660000
346,-32.9832256,151.5832629
347,-32.9923000,151.6020000
348,-32.9440547,151.6782166
349,-32.9266050,151.6428660
350,-32.9272507,151.6539173
34361,-32.8737000,151.6510000
43978,-32.9595234,151.6805364
354,-33.0256148,151.5939034
56830,-32.9147000,151.7090000
33727,-32.9083000,151.6720000
1883,-32.8820000,151.6590000
361,-32.8838000,151.6140000
362,-33.1029000,151.4890000
609,-33.1116124,151.5644421
65200,-32.9348691,151.7258340
2713,-32.9347209,151.6889388
1891,-32.9000437,151.6642575
1892,-32.8921027,151.6680192
365,-33.0429500,151.5894400
1906,-32.9067000,151.6830000
56853,-32.8997000,151.6780000
367,-32.9601720,151.6234260
14038,-33.8735000,151.2070000
370,-32.9627000,151.6060000
371,-33.0115000,151.5920000
372,-33.0085866,151.5950805
33900,-33.0144964,151.5964426
38205,-32.9047523,151.6699732
1901,-32.9206289,151.6753603
375,-33.0724000,151.5830000
43974,-32.9682200,151.6523955
32802,-32.9656758,151.6487577
379,-32.9112051,151.5822231
31717,-32.9819970,151.6068090
623,-33.1763429,151.4813612
31719,-33.1510018,151.5236030
413,-33.7870700,150.8906100
385,-33.7339000,150.8260000
386,-33.7395000,150.8160000
11947,-33.7901400,150.9015900
58849,-33.7711626,150.9040383
58585,-33.7655919,150.9097940
388,-33.7803500,150.9058000
12049,-33.7705000,150.8930000
65405,-33.7520170,150.6905990
1027,-33.7339000,150.8580000
392,-33.7475000,150.8170000
30102,-33.7710800,150.9093100
393,-33.7650000,150.8720000
1028,-33.7563000,150.8750000
395,-33.7867000,150.8530000
396,-33.7452466,150.8058686
31463,-33.7425000,150.8520000
31030,-33.7361000,150.8400000
397,-33.7477000,150.8250000
399,-33.7381603,150.8008757
1036,-33.7565000,150.8950000
1037,-33.7429000,150.8960000
1038,-33.7606000,150.8850000
1030,-33.7493000,150.8890000
1039,-33.6960000,150.8340000
401,-33.7875000,150.8310000
402,-33.7672611,150.8255110
33976,-33.7672745,150.8254788
403,-33.7639000,150.8120000
404,-33.7749000,150.8140000
406,-33.7491000,150.8380000
1046,-33.7377000,150.8850000
56862,-33.7292000,150.8960000
407,-33.7690000,150.8410000
408,-33.7758500,150.8470200
58848,-33.6923163,150.8749195
411,-33.7278000,150.8070000
14039,-33.8735000,151.2070000
412,-33.7453707,150.7948779
414,-33.7526000,150.8100000
400,-33.7602000,150.8050000
415,-33.7256000,150.7940000
32335,-33.7496000,150.8820000
65420,-34.0331300,151.1018180
1194,-34.0127882,151.0561757
417,-34.0507000,151.1330000
438,-34.0366000,151.1150000
419,-34.0462315,151.1230705
420,-34.0334300,151.1210000
418,-34.0537000,151.1230000
421,-34.0459000,151.1130000
1200,-34.0035493,151.0682789
1201,-34.0048000,151.0610000
422,-34.0538000,151.1480000
423,-34.0573311,151.1530107
424,-34.0484489,151.1515928
425,-34.0653000,151.1540000
30103,-34.0331300,151.1018180
427,-34.0586530,151.0722020
1207,-34.0371000,151.0840000
430,-34.0468000,151.0830000
429,-34.0265000,151.0880000
1216,-34.0180000,151.0730000
56926,-34.0227000,151.0620000
431,-34.0131000,151.0830000
1218,-34.0331000,151.0780000
432,-34.0436000,151.0750000
433,-34.0108000,151.2040000
434,-34.0636292,151.1189871
435,-34.0332000,151.0980000
